gender,tenure,service_1,service_2,tariff,expencies,RESULT
M,71,Yes,Yes,POST,23.95,No
F,65,Yes,Yes,POST,99.05,No
M,3,Yes,No,POST,19.6,No
M,1,Yes,No,PRE,45.65,Yes
M,30,Yes,No,POST,64.5,No
M,15,Yes,No,PRE,69.5,No
F,8,Yes,No,PRE,68.55,No
M,7,Yes,Yes,PRE,95,Yes
F,70,Yes,Yes,POST,108.15,No
M,62,Yes,No,POST,86.1,No
F,6,Yes,No,PRE,19.7,No
F,14,Yes,No,PRE,80.9,No
F,22,Yes,Yes,PRE,84.15,No
M,22,Yes,No,POST,20.15,No
M,16,Yes,No,POST,64.25,No
M,10,Yes,Yes,POST,25.7,No
F,13,Yes,No,PRE,56,No
F,20,Yes,Yes,PRE,82.4,Yes
F,2,Yes,No,PRE,69.7,No
M,53,Yes,Yes,POST,73.9,No
F,11,Yes,No,POST,20.6,No
M,69,Yes,No,POST,19.9,No
F,4,Yes,No,PRE,70.9,Yes
M,72,Yes,Yes,POST,89.05,No
M,58,No,No,PRE,45.3,Yes
F,16,Yes,No,PRE,20.4,No
M,43,Yes,No,POST,84.25,No
F,2,Yes,Yes,PRE,104.4,Yes
M,14,Yes,No,POST,81.95,No
F,53,Yes,No,POST,94.85,Yes
F,32,Yes,No,POST,20.55,No
F,34,Yes,Yes,PRE,24.7,No
F,15,Yes,Yes,PRE,74.45,Yes
F,7,Yes,No,PRE,76.45,Yes
F,15,Yes,Yes,PRE,105.35,No
M,61,Yes,No,POST,20.55,No
F,1,No,No,PRE,29.95,Yes
F,1,Yes,No,PRE,45.3,No
M,8,Yes,Yes,PRE,84.5,Yes
M,33,Yes,No,POST,74.75,No
F,13,Yes,No,PRE,79.25,Yes
F,1,No,No,PRE,24.8,Yes
M,20,Yes,No,PRE,51.8,No
M,3,No,No,PRE,30.4,No
F,13,Yes,No,POST,19.65,No
F,40,Yes,Yes,PRE,56.6,No
M,43,Yes,Yes,POST,71.9,No
M,6,Yes,No,PRE,91,Yes
F,69,Yes,No,POST,19.75,No
F,72,Yes,Yes,POST,109.7,No
M,59,Yes,No,POST,19.3,No
F,20,Yes,No,PRE,96.55,No
M,24,Yes,Yes,POST,24.1,No
M,59,Yes,Yes,PRE,111.35,No
M,72,Yes,Yes,POST,112.25,No
M,1,Yes,No,PRE,20.75,No
F,27,Yes,No,POST,101.9,No
F,14,Yes,No,PRE,80.05,No
M,71,Yes,Yes,POST,105.55,No
M,13,Yes,No,PRE,78.3,No
M,44,Yes,No,PRE,68.85,No
F,33,Yes,No,POST,79.95,No
M,72,No,No,POST,55.45,No
M,1,Yes,No,PRE,79.9,Yes
F,19,Yes,No,PRE,106.6,Yes
M,64,Yes,No,POST,102.45,No
M,2,Yes,No,PRE,46,Yes
F,1,No,No,PRE,25.25,No
M,61,Yes,No,POST,19.75,No
F,29,Yes,No,POST,20,No
M,23,Yes,Yes,PRE,86.8,No
F,57,No,No,PRE,58.75,No
M,72,No,No,POST,45.25,No
M,66,No,No,POST,56.6,No
M,65,Yes,Yes,POST,84.2,No
F,8,Yes,No,PRE,80,No
F,4,Yes,No,PRE,70.15,Yes
F,71,Yes,Yes,POST,24.75,No
M,1,Yes,No,POST,20.2,No
M,4,Yes,No,PRE,50.05,Yes
F,12,Yes,No,POST,19.35,No
M,24,No,No,POST,50.6,No
F,31,Yes,No,POST,81.15,No
F,1,Yes,No,PRE,55.2,Yes
M,30,Yes,Yes,PRE,89.9,No
F,47,Yes,Yes,POST,85.3,No
M,54,Yes,Yes,POST,108,No
M,50,Yes,No,PRE,93.5,No
M,1,Yes,No,PRE,84.6,Yes
F,72,Yes,No,POST,20.25,No
F,29,Yes,Yes,PRE,25.15,No
M,2,Yes,Yes,PRE,54.4,Yes
F,10,No,No,POST,29.6,No
M,18,Yes,Yes,PRE,73.15,No
F,11,Yes,No,PRE,95,Yes
M,16,Yes,No,POST,19.75,No
F,72,Yes,Yes,POST,86.6,No
M,72,Yes,Yes,POST,109.2,No
F,41,Yes,No,POST,74.7,No
F,65,Yes,No,PRE,94.4,No
F,13,Yes,No,PRE,54.8,No
M,4,Yes,No,PRE,75.35,No
M,41,Yes,Yes,POST,65,No
M,15,Yes,No,PRE,74.4,Yes
M,1,Yes,No,PRE,48.55,Yes
M,42,Yes,Yes,POST,99,No
F,51,Yes,No,POST,93.5,No
F,2,Yes,No,PRE,70.4,Yes
M,1,No,No,PRE,40.2,Yes
M,32,Yes,Yes,POST,83.7,No
M,10,Yes,No,PRE,19.85,No
F,67,No,No,POST,59.55,No
F,61,Yes,Yes,POST,115.1,No
M,50,Yes,Yes,POST,114.35,No
F,2,Yes,No,PRE,44.6,Yes
F,29,No,No,PRE,45,No
M,3,No,No,PRE,41.15,Yes
M,13,Yes,Yes,PRE,106.9,Yes
M,57,Yes,Yes,PRE,89.85,No
F,31,No,No,POST,49.85,No
F,45,Yes,Yes,POST,113.3,No
F,61,Yes,Yes,POST,88.1,No
M,50,Yes,Yes,POST,24.9,No
F,19,Yes,No,PRE,105,No
M,59,Yes,No,POST,19.35,Yes
F,71,Yes,Yes,POST,24.25,No
F,16,Yes,No,PRE,94.45,Yes
M,57,Yes,No,POST,59.75,No
M,1,No,No,PRE,24.8,Yes
M,20,Yes,Yes,PRE,107.05,No
M,1,Yes,No,PRE,70.6,Yes
M,5,Yes,Yes,PRE,85.4,Yes
F,52,Yes,Yes,PRE,105.05,Yes
M,21,Yes,No,PRE,64.95,No
M,14,No,No,PRE,55,No
F,5,Yes,No,PRE,50.55,No
F,6,Yes,No,PRE,55.15,No
F,10,Yes,No,PRE,51.2,No
F,1,Yes,Yes,PRE,25.4,No
F,68,Yes,Yes,PRE,54.45,No
M,18,Yes,No,PRE,95.15,Yes
F,22,Yes,Yes,POST,76,No
F,20,Yes,No,PRE,44.35,No
M,1,Yes,No,PRE,70,Yes
M,8,Yes,No,PRE,74.5,Yes
M,10,Yes,No,PRE,44.85,Yes
M,24,Yes,Yes,PRE,76.1,Yes
M,35,Yes,No,POST,61.2,No
M,23,Yes,No,POST,86.8,No
F,6,Yes,No,PRE,89.35,No
F,12,Yes,No,PRE,19.7,No
M,1,Yes,No,PRE,20.25,No
F,71,Yes,No,POST,76.05,No
M,35,Yes,Yes,PRE,100.8,No
M,40,Yes,Yes,PRE,74.55,No
F,1,Yes,No,PRE,73.6,Yes
M,23,Yes,No,POST,64.9,No
F,4,Yes,Yes,PRE,95.45,Yes
M,4,Yes,No,PRE,90.4,No
F,68,No,No,POST,60.3,No
M,38,Yes,Yes,PRE,81.85,No
M,52,Yes,Yes,POST,24.8,No
M,32,Yes,Yes,PRE,74.9,Yes
M,29,Yes,No,POST,75.55,No
M,38,Yes,Yes,PRE,101.15,No
M,48,Yes,Yes,POST,78.75,No
F,1,Yes,No,PRE,19.25,No
F,22,Yes,No,PRE,89.05,No
F,43,Yes,Yes,POST,115.05,No
F,5,Yes,No,PRE,69.35,No
M,5,Yes,No,PRE,80.6,Yes
M,51,Yes,Yes,POST,110.05,No
M,71,Yes,No,POST,19.9,No
F,38,Yes,No,POST,80.3,Yes
M,24,Yes,No,PRE,93.15,Yes
M,35,Yes,Yes,PRE,91.5,No
F,54,Yes,Yes,POST,82.45,Yes
F,72,No,No,POST,60,No
M,1,Yes,No,PRE,44.8,No
F,9,Yes,No,POST,48.6,No
M,69,No,No,POST,60.05,No
F,52,Yes,Yes,PRE,102.7,No
F,11,Yes,No,PRE,82.9,No
F,2,Yes,No,PRE,70.35,Yes
F,28,No,No,PRE,35.9,No
F,17,Yes,Yes,PRE,82.65,No
F,35,Yes,No,POST,19.85,No
F,8,Yes,No,POST,19.2,No
M,46,Yes,Yes,POST,94.9,No
F,7,Yes,Yes,PRE,73.85,Yes
F,2,Yes,Yes,PRE,80.6,Yes
M,68,Yes,Yes,POST,75.8,Yes
F,43,Yes,Yes,POST,104.6,Yes
F,68,Yes,Yes,POST,88.15,No
F,36,Yes,No,PRE,94.8,No
M,63,Yes,Yes,PRE,103.4,Yes
F,32,Yes,No,PRE,54.65,No
F,71,Yes,Yes,POST,85.75,No
F,66,Yes,Yes,PRE,67.45,No
M,63,Yes,No,POST,20.5,No
F,41,Yes,No,POST,20.25,No
F,1,Yes,Yes,PRE,72.1,No
F,2,Yes,No,PRE,90.4,Yes
F,70,Yes,No,POST,19.45,No
F,23,No,No,PRE,44.95,No
F,64,Yes,No,POST,97,No
M,37,Yes,Yes,POST,62.8,No
M,17,Yes,No,POST,44.6,No
F,7,Yes,No,PRE,89.15,No
M,4,Yes,Yes,PRE,84.8,Yes
F,21,No,No,PRE,41.9,Yes
F,10,Yes,No,PRE,80.25,Yes
F,16,Yes,Yes,PRE,54.1,No
M,64,Yes,Yes,POST,105.25,No
M,27,No,No,PRE,30.75,Yes
M,42,Yes,Yes,POST,97.1,No
M,5,Yes,No,PRE,20.2,No
F,41,Yes,No,POST,98.8,No
M,58,Yes,No,POST,50.3,No
F,47,Yes,No,POST,20.55,No
M,18,Yes,No,PRE,75.9,No
M,5,Yes,No,PRE,96.5,Yes
M,23,Yes,No,PRE,59.95,No
F,1,Yes,No,PRE,19.15,No
M,71,Yes,Yes,POST,98.65,No
M,72,Yes,Yes,POST,112.6,No
M,33,Yes,No,POST,20.6,No
M,2,Yes,Yes,PRE,85.65,Yes
M,24,No,No,POST,35.75,No
F,56,Yes,Yes,POST,99.75,No
M,37,Yes,No,PRE,96.1,No
F,43,Yes,Yes,POST,85.1,No
M,1,No,No,PRE,25.35,No
F,25,Yes,Yes,PRE,104.95,Yes
F,61,Yes,Yes,POST,89.65,No
M,17,Yes,Yes,POST,86.75,No
F,41,Yes,No,POST,86.2,No
M,1,Yes,No,PRE,50.65,Yes
M,72,No,No,POST,64.8,No
M,1,Yes,Yes,PRE,90.85,Yes
M,48,Yes,Yes,POST,108.1,No
M,11,Yes,No,PRE,19.95,Yes
F,55,Yes,Yes,PRE,85.45,Yes
F,42,No,No,POST,54.75,No
M,44,Yes,Yes,PRE,90.4,No
M,1,Yes,No,PRE,44,No
F,27,Yes,Yes,PRE,95.6,No
M,27,Yes,Yes,PRE,84.8,No
F,2,Yes,No,PRE,44.3,No
F,19,Yes,No,PRE,19.9,No
F,42,Yes,Yes,PRE,95.05,No
F,66,Yes,Yes,POST,90.05,No
M,33,Yes,Yes,PRE,109.9,No
F,34,Yes,No,PRE,73.95,Yes
M,33,No,No,PRE,54.6,No
F,23,Yes,No,POST,20.05,No
F,32,Yes,No,POST,19.75,No
F,11,Yes,No,POST,20.05,No
M,69,Yes,Yes,PRE,99.45,Yes
F,68,Yes,No,POST,55.9,No
M,20,Yes,No,POST,19.7,No
M,72,Yes,No,POST,19.8,No
M,60,Yes,Yes,POST,95.4,No
M,32,Yes,No,PRE,93.95,No
F,1,Yes,No,PRE,19.9,Yes
M,1,Yes,No,PRE,19.6,Yes
M,3,Yes,Yes,PRE,81.35,Yes
F,46,Yes,Yes,POST,24.45,No
F,29,Yes,Yes,PRE,74.95,No
M,51,Yes,Yes,PRE,87.35,No
F,48,Yes,No,PRE,70.65,No
F,16,Yes,No,PRE,73.25,No
M,70,Yes,Yes,POST,98.7,No
F,40,Yes,Yes,POST,24.8,No
F,22,Yes,No,PRE,83.3,Yes
F,1,Yes,No,PRE,75.3,Yes
F,5,Yes,Yes,PRE,24.3,No
F,7,Yes,No,PRE,69.85,No
M,29,Yes,Yes,POST,100.55,No
M,44,Yes,Yes,POST,25.7,No
F,10,No,No,PRE,40.7,No
F,55,Yes,Yes,PRE,51.65,No
M,52,Yes,Yes,POST,105.1,No
F,10,Yes,Yes,PRE,85.95,No
M,18,Yes,Yes,PRE,75.6,No
F,68,Yes,Yes,POST,58.25,No
F,61,Yes,No,PRE,19.4,Yes
F,72,No,No,POST,65.2,No
M,2,Yes,No,PRE,53.45,No
M,12,Yes,No,PRE,45.4,Yes
M,41,Yes,No,POST,19.75,No
F,26,No,No,PRE,44.45,No
M,36,Yes,No,POST,20.85,No
M,72,Yes,Yes,POST,114.05,No
M,35,Yes,Yes,PRE,89.85,No
M,1,Yes,No,PRE,55.05,No
F,16,Yes,Yes,PRE,112.95,No
F,49,Yes,Yes,PRE,101.55,No
F,54,Yes,Yes,POST,114.65,No
F,18,Yes,Yes,PRE,64.8,No
F,36,Yes,No,PRE,80.4,No
F,60,Yes,Yes,PRE,105.9,Yes
F,1,Yes,No,PRE,69.55,Yes
F,52,Yes,Yes,POST,25.05,No
M,8,Yes,No,PRE,94.75,No
M,72,Yes,No,POST,105.5,No
F,64,Yes,Yes,POST,24.7,No
F,22,Yes,No,PRE,69.75,No
M,60,No,No,PRE,60.2,No
F,28,Yes,No,PRE,81.05,Yes
F,61,Yes,Yes,POST,24.4,No
F,24,Yes,Yes,PRE,104.15,No
M,28,Yes,No,POST,92.9,No
F,30,Yes,No,POST,80.8,No
M,2,Yes,No,PRE,20,No
M,1,Yes,Yes,PRE,75.1,No
M,6,Yes,No,PRE,19.65,No
F,24,Yes,No,PRE,69.45,No
M,4,Yes,Yes,PRE,101.15,Yes
M,7,Yes,Yes,PRE,99.8,Yes
M,72,Yes,Yes,POST,116.05,No
M,70,No,No,POST,40.05,No
M,64,Yes,Yes,POST,102.1,No
M,72,Yes,Yes,POST,89.7,No
F,44,Yes,No,POST,19.9,No
F,13,Yes,No,PRE,55.95,Yes
F,17,Yes,No,POST,20.65,No
M,1,Yes,No,PRE,55,Yes
M,9,Yes,No,PRE,70.05,No
M,24,Yes,No,PRE,53.6,No
F,1,Yes,No,PRE,74.7,Yes
M,24,Yes,Yes,PRE,80.25,Yes
M,35,Yes,No,PRE,76.05,No
F,7,Yes,No,PRE,75.7,No
M,5,Yes,No,PRE,96.1,Yes
F,15,Yes,No,PRE,69,Yes
M,11,Yes,No,POST,19.65,No
F,48,No,No,PRE,45.3,Yes
F,20,Yes,No,PRE,81.45,No
F,72,Yes,Yes,POST,108.5,No
F,8,Yes,No,PRE,83.55,Yes
M,72,Yes,Yes,POST,84.5,No
F,15,Yes,Yes,PRE,100.15,No
M,72,Yes,Yes,POST,88.6,No
F,0,No,No,POST,52.55,No
M,1,Yes,Yes,PRE,74.35,Yes
M,63,Yes,Yes,POST,104.8,No
F,2,Yes,No,PRE,59,No
F,2,Yes,No,PRE,74.4,Yes
M,61,Yes,Yes,POST,64.05,No
M,1,Yes,No,PRE,20.4,No
M,22,No,No,POST,43.75,Yes
M,28,Yes,No,PRE,60.9,No
F,70,Yes,No,POST,19.8,No
F,5,No,No,PRE,28.45,Yes
F,12,Yes,Yes,PRE,99.7,Yes
M,34,Yes,Yes,POST,116.25,No
F,71,Yes,Yes,POST,80.7,No
F,70,Yes,Yes,POST,65.2,No
F,52,Yes,No,PRE,84.05,No
M,69,Yes,Yes,POST,79.45,No
F,20,Yes,Yes,PRE,94.1,Yes
M,11,Yes,Yes,PRE,78,No
M,2,Yes,No,PRE,94.2,Yes
F,6,Yes,Yes,PRE,80.5,Yes
F,1,Yes,No,PRE,19.85,No
M,20,Yes,No,POST,94.3,No
M,61,Yes,Yes,PRE,106.45,No
F,5,Yes,Yes,PRE,74.35,Yes
F,56,Yes,Yes,PRE,105.45,No
M,30,Yes,Yes,PRE,95,No
M,40,Yes,Yes,PRE,104.8,Yes
F,28,Yes,No,POST,54.3,No
F,5,Yes,No,PRE,70.05,No
F,27,Yes,No,PRE,75.2,Yes
M,12,Yes,No,PRE,20.05,No
M,67,Yes,Yes,POST,105.4,No
M,29,Yes,Yes,PRE,51.6,No
M,55,Yes,Yes,PRE,85.5,No
F,23,Yes,Yes,PRE,75.6,Yes
M,34,Yes,Yes,PRE,100.05,Yes
M,52,Yes,No,POST,91.25,No
M,72,Yes,Yes,POST,115.75,No
M,58,Yes,Yes,POST,94.7,No
M,35,Yes,No,POST,19.6,No
F,56,Yes,Yes,POST,99.9,No
F,24,Yes,No,POST,21.1,No
M,70,Yes,No,POST,20.05,No
M,2,Yes,No,PRE,79.95,No
M,68,Yes,Yes,POST,107.15,No
F,1,Yes,Yes,PRE,85,Yes
M,12,Yes,Yes,PRE,89.55,No
F,63,Yes,Yes,PRE,81.55,No
F,33,Yes,No,POST,58.45,No
F,69,Yes,No,POST,95.65,No
F,60,Yes,No,POST,80.6,No
F,72,Yes,Yes,POST,113.1,No
F,11,Yes,Yes,PRE,58.95,No
F,1,Yes,No,PRE,19.55,No
M,10,Yes,Yes,PRE,86.05,Yes
M,13,No,No,PRE,45.55,Yes
M,34,Yes,No,POST,78.95,No
M,39,Yes,No,PRE,86.3,Yes
F,65,Yes,Yes,POST,105.05,No
M,50,Yes,Yes,POST,101.9,No
M,15,Yes,No,PRE,19.75,No
M,72,Yes,Yes,POST,110.3,No
F,72,Yes,Yes,POST,115.6,No
M,55,Yes,No,POST,19.35,No
F,23,Yes,Yes,POST,25.6,No
M,32,Yes,Yes,PRE,80.35,Yes
F,56,Yes,Yes,POST,68.75,No
F,1,Yes,No,PRE,19.9,No
M,38,Yes,No,POST,70.6,No
M,11,Yes,No,PRE,70.2,No
M,1,Yes,No,PRE,49.3,No
M,56,Yes,Yes,POST,107.25,No
M,3,Yes,Yes,PRE,23.6,No
M,7,Yes,No,PRE,69.7,No
M,59,Yes,Yes,POST,99.5,No
M,7,Yes,No,PRE,64.3,No
M,71,Yes,No,POST,70.85,No
M,15,Yes,No,POST,101.9,No
M,71,Yes,Yes,POST,73.5,No
F,35,Yes,Yes,PRE,100.25,Yes
F,11,No,No,POST,40.4,No
F,60,Yes,No,POST,19.25,No
M,47,Yes,Yes,POST,59.6,No
F,11,Yes,No,POST,64.9,No
M,56,Yes,Yes,POST,100.3,Yes
F,28,Yes,Yes,PRE,110.85,No
M,61,Yes,No,POST,81.05,No
M,31,Yes,Yes,POST,98.05,No
M,9,Yes,No,PRE,70.5,No
M,35,Yes,Yes,PRE,94.55,No
M,2,Yes,No,PRE,19.65,No
F,12,Yes,No,PRE,19,Yes
F,1,Yes,No,PRE,75.3,Yes
F,4,Yes,Yes,PRE,89.2,Yes
F,1,Yes,No,PRE,19,No
F,3,Yes,No,PRE,20,No
F,1,Yes,Yes,PRE,85.7,Yes
M,52,Yes,No,POST,63.25,No
M,5,Yes,No,POST,20.1,No
M,72,Yes,Yes,POST,99.15,No
M,71,Yes,Yes,POST,90.4,No
M,72,Yes,Yes,POST,111.9,No
M,46,Yes,Yes,POST,24.9,No
M,63,Yes,Yes,POST,83.5,No
M,30,Yes,No,PRE,84.3,No
M,1,Yes,No,PRE,45.6,No
F,12,Yes,Yes,PRE,61.65,Yes
M,16,No,No,POST,54.85,No
M,4,Yes,Yes,PRE,65.55,No
M,51,Yes,Yes,POST,90.35,No
M,65,Yes,No,POST,20.4,No
M,16,Yes,No,PRE,74.55,No
M,2,Yes,No,POST,19.95,No
F,66,Yes,Yes,POST,74.25,No
M,46,Yes,Yes,POST,108.65,No
F,32,Yes,Yes,POST,109.55,No
M,72,Yes,Yes,POST,86.65,No
M,38,Yes,No,POST,81,No
M,51,Yes,No,POST,47.85,No
M,72,Yes,Yes,POST,114.55,No
F,65,Yes,Yes,PRE,105.25,Yes
M,9,No,No,PRE,29.95,Yes
F,9,Yes,No,PRE,65,Yes
M,66,Yes,No,POST,20.55,No
F,44,Yes,Yes,POST,109.8,No
M,50,Yes,Yes,POST,69.5,No
F,15,Yes,Yes,PRE,48.85,No
M,8,No,No,PRE,25.25,No
F,66,Yes,Yes,POST,102.85,No
F,57,Yes,Yes,PRE,87.55,No
F,7,Yes,Yes,PRE,78.55,No
M,10,No,No,PRE,34.55,No
F,62,Yes,Yes,POST,92.05,No
M,40,Yes,No,POST,85.05,No
F,20,Yes,No,POST,19.7,No
F,7,Yes,No,PRE,20,Yes
F,25,Yes,No,PRE,95.15,No
M,23,Yes,Yes,PRE,84.25,No
F,66,Yes,Yes,POST,104.6,No
F,72,Yes,Yes,POST,111.65,No
M,49,Yes,Yes,PRE,90.05,Yes
M,43,Yes,Yes,PRE,110.75,Yes
F,46,Yes,Yes,PRE,55,No
M,72,Yes,Yes,POST,89.85,No
M,10,Yes,No,POST,20.35,No
F,40,No,No,POST,54.55,No
F,65,Yes,Yes,PRE,105.5,Yes
M,31,Yes,No,POST,99.45,No
F,68,Yes,Yes,POST,70.9,No
M,56,Yes,Yes,POST,104.55,Yes
M,10,Yes,Yes,PRE,85.25,Yes
M,68,Yes,Yes,POST,25.4,No
F,43,Yes,No,PRE,56.15,Yes
M,1,Yes,No,PRE,89.55,Yes
F,49,Yes,No,POST,89.85,No
F,15,Yes,Yes,PRE,25.25,No
M,20,Yes,Yes,PRE,94.55,Yes
M,1,Yes,No,PRE,45.7,Yes
M,50,Yes,Yes,POST,69.65,No
F,2,Yes,Yes,PRE,89.5,Yes
M,24,Yes,No,PRE,70,No
F,3,Yes,No,PRE,69.55,Yes
F,1,Yes,No,PRE,74.6,Yes
M,35,Yes,No,POST,20.1,No
F,17,Yes,Yes,PRE,24.8,No
F,8,Yes,No,PRE,19.65,Yes
M,10,Yes,No,PRE,95.1,No
M,68,Yes,Yes,POST,88.85,No
M,45,Yes,No,POST,78.8,No
M,2,Yes,No,POST,19.85,Yes
M,37,Yes,No,PRE,20.35,No
F,4,No,No,PRE,24.25,Yes
F,10,Yes,No,PRE,45.25,No
M,1,Yes,No,PRE,20.05,No
M,65,Yes,Yes,POST,69.55,No
F,57,Yes,No,POST,19.5,No
F,3,Yes,No,PRE,74.75,No
F,2,Yes,No,PRE,69.65,Yes
M,49,No,No,PRE,30.2,No
F,4,Yes,No,PRE,45.65,Yes
F,70,No,No,POST,57.8,No
F,53,Yes,No,POST,19.85,No
M,53,Yes,Yes,POST,25.55,No
F,1,Yes,Yes,PRE,75.05,Yes
M,22,Yes,Yes,PRE,24.85,No
M,52,No,No,PRE,49.15,Yes
M,65,Yes,Yes,POST,110.35,No
